municipality,iata_code,coordinates
Zanesville,ZZV,"-81.89209747310001, 39.9444007874"
Mzuzu,ZZU,"34.01179885864258, -11.444700241088867"
Tymovskoye,ZZO,"142.761001587, 50.6692008972"
Sylhet,ZYL,"91.8667984008789, 24.963199615478516"
Zunyi,ZYI,"107.0007, 27.5895"
Baku,ZXT,"49.9768066406, 40.4955422161"
Wollaston Lake,ZWL,"-103.1719970703125, 58.10689926147461"
,ZWA,"49.620601654052734, -14.651700019836426"
,ZVK,"104.76000213623047, 16.55660057067871"
Springvale,ZVG,"127.66999816894531, -17.78689956665039"
,ZVA,"45.450801849365234, -19.56279945373535"
Churchill Falls,ZUM,"-64.10639953613281, 53.5619010925293"
Zilfi,ZUL,"44.83300018310547, 26.350000381469727"
Zhuhai,ZUH,"113.375999, 22.006399"
Ancud,ZUD,"-73.796571, -41.904251"
Ignace,ZUC,"-91.7177963256836, 49.4296989440918"
Zaqatala,ZTU,"46.667221, 41.562222"
Tahsis,ZTS,"-126.666999817, 49.916698455799995"
,ZTR,"28.738611, 50.270556"
Shamattawa,ZTM,"-92.0813980102539, 55.8656005859375"
Zakynthos Island,ZTH,"20.8843, 37.7509"
TÃªte-Ã -la-Baleine,ZTB,"-59.38359832763672, 50.674400329589844"
,ZTA,"-138.57000732421875, -20.78969955444336"
,ZSW,"-130.2830047607422, 54.33330154418945"
Stewart,ZST,"-129.982434511, 55.935410448"
Sassandra,ZSS,"-6.132780075073242, 4.928329944610596"
St. Paul,ZSP,"-111.379997253, 53.9933013916"
Sandy Lake,ZSJ,"-93.34439849853516, 53.06420135498047"
St Pierre,ZSE,"55.42499923706055, -21.320899963378906"
San Salvador,ZSA,"-74.52400207519531, 24.06329917907715"
Zaraza,ZRZ,"-65.280655, 9.350306"
Zaraza,ZRZ,"-65.28078, 9.349913"
Sarmi-Papua Island,ZRM,"138.75, -1.8695499897"
Round Lake,ZRJ,"-91.31279754638672, 52.943599700927734"
Serui-Japen Island,ZRI,"136.24099731445312, -1.8755799531936646"
Zurich,ZRH,"8.54917, 47.464699"
Zhangjiakou,ZQZ,"114.930000305, 40.7386016846"
ZweibrÃ¼cken,ZQW,"7.40056, 49.2094"
Queenstown,ZQN,"168.738998413, -45.0210990906"
Donaueschingen,ZQL,"8.52222156525, 47.97333145139999"
Pinehouse Lake,ZPO,"-106.582000732, 55.5280990601"
Zephyrhills,ZPH,"-82.15589904790001, 28.2282009125"
Pucon,ZPC,"-71.91590118408203, -39.29280090332031"
Sachigo Lake,ZPB,"-92.19640350341797, 53.8911018371582"
Osorno,ZOS,"-73.06099700927734, -40.61119842529297"
Ocean Falls,ZOF,"-127.717002869, 52.3666992188"
Zanzibar,ZNZ,"39.224899, -6.22202"
Namu,ZNU,"-127.869357, 51.862825"
Newman,ZNE,"119.803001404, -23.417800903299998"
Zinder,ZND,"8.983759880065918, 13.779000282287598"
Nyac,ZNC,"-159.994003296, 60.9807014465"
Nanaimo,ZNA,"-123.949996948, 49.1833000183"
Masset,ZMT,"-132.125, 54.02750015258789"
,ZMM,"-102.276001, 20.045"
108 Mile,ZMH,"-121.333000183, 51.736099243199995"
Magdeburg,ZMG,"11.626389, 52.073612"
Sena Madureira,ZMD,"-68.6108, -9.116"
Zalingei,ZLX,"23.5631, 12.9437"
La TabatiÃ¨re,ZLT,"-58.97560119628906, 50.8307991027832"
Linares,ZLR,"-71.54859924316406, -35.861698150634766"
Manzanillo,ZLO,"-104.558998108, 19.144800186199998"
La GÃ¼era,ZLG,"-17.074167, 20.836389"
Zyryanka,ZKP,"150.8889, 65.7485"
Sette Cama,ZKM,"9.767000198364258, -2.5329999923706055"
Zigong,ZKL,"104.625789, 29.376484"
